concept_id,jlpt_level,expression,reading,meaning,source,source_id,review_status
n5-vocab-1554310-ee85169a,N5,料理,りょうり,cuisine,Jonathan Waller JLPT vocabulary list,1554310,seed
n5-vocab-1553170-2ba96bef,N5,旅行,りょこう,travel,Jonathan Waller JLPT vocabulary list,1553170,seed
n5-vocab-1557630-92b3bb72,N5,零,れい,zero,Jonathan Waller JLPT vocabulary list,1557630,seed
n5-vocab-1557110-f7a15687,N5,冷蔵庫,れいぞうこ,refrigerator,Jonathan Waller JLPT vocabulary list,1557110,seed
n5-vocab-1144940-0455201f,N5,レコード,レコード,record,Jonathan Waller JLPT vocabulary list,1144940,seed
n5-vocab-1145310-31893e43,N5,レストラン,レストラン,restaurant,Jonathan Waller JLPT vocabulary list,1145310,seed
n5-vocab-1559160-d23f0624,N5,練習,れんしゅう,to practice,Jonathan Waller JLPT vocabulary list,1559160,seed
n5-vocab-1560670-5fc0f979,N5,廊下,ろうか,corridor,Jonathan Waller JLPT vocabulary list,1560670,seed
n5-vocab-1585310-f9ccc7bf,N5,六,ろく,six,Jonathan Waller JLPT vocabulary list,1585310,seed
n5-vocab-1148640-38249a2d,N5,ワイシャツ,ワイシャツ,business shirt,Jonathan Waller JLPT vocabulary list,1148640,seed
n5-vocab-1324300-640761cb,N5,若い,わかい,young,Jonathan Waller JLPT vocabulary list,1324300,seed
n5-vocab-1606560-ecee43eb,N5,分かる,わかる,to be understood,Jonathan Waller JLPT vocabulary list,1606560,seed
n5-vocab-1519210-0ca0de9d,N5,忘れる,わすれる,to forget,Jonathan Waller JLPT vocabulary list,1519210,seed
n5-vocab-2842390-d5c2e698,N5,私,わたくし,"(humble) I,myself",Jonathan Waller JLPT vocabulary list,2842390,seed
n5-vocab-1311110-8b82a027,N5,私,わたし,"I,myself",Jonathan Waller JLPT vocabulary list,1311110,seed
n5-vocab-1444610-b1d440d4,N5,渡す,わたす,to hand over,Jonathan Waller JLPT vocabulary list,1444610,seed
n5-vocab-1444680-78255b98,N5,渡る,わたる,to go across,Jonathan Waller JLPT vocabulary list,1444680,seed
n5-vocab-1151260-13b6dbec,N5,悪い,わるい,bad,Jonathan Waller JLPT vocabulary list,1151260,seed
n5-vocab-1013190-6c214111,N5,より,より,Used for comparison.,Jonathan Waller JLPT vocabulary list,1013190,seed
n5-vocab-1516930-9dda296d,N5,方,ほう,Used for comparison.,Jonathan Waller JLPT vocabulary list,1516930,seed
